Row,XL1,XL2,XL3,XL4,XL5,XL6,XL7,XL8,XL9,XL10,XL11,XL12,XL13
ARL5A,0.023756123,-0.00987584,-0.0016592,0.03055915,-0.00906866,-0.002188306,-0.024447855,0.045973367,0.003954794,-0.02085201,0.012740373,-0.010884205,-0.012152277
ARL6IP1,-0.024676056,-0.001072452,0.010981404,0.014345053,-0.039682198,-0.013392599,-0.000458924,-0.010565189,-0.005162942,-0.014897277,-0.033476448,0.004193714,-0.008134914
ARL6IP6,-0.024519864,0.012949309,0.009033274,0.017036663,0.004014427,-0.03933111,-0.003538972,0.033903404,0.006735596,0.005591408,0.012458486,0.018620514,-0.026434758
ARMC2,0.013752387,0.02938581,-0.01370028,0.045330965,-0.036528697,0.023393717,0.030675407,-0.004957715,0.05415195,-0.010828441,0.021144386,0.001036267,-0.026727495
ARNT,0.018703287,0.021384757,-0.007026114,-0.013648712,-0.028153271,0.004635272,-0.001768377,0.060855983,-0.03465318,0.016490255,-0.035225598,-0.040189845,-0.025350598
ARNT2,0.022224225,0.007452286,-0.019882994,0.034467186,0.009750633,0.022645408,-0.011816872,0.02196072,-0.015269943,0.014993782,-0.00753116,0.034598391,0.005886458
ARPC3,-0.00437397,-0.041609631,0.00682389,-0.025295243,-0.053546966,-0.018518807,-0.012804641,-0.052341643,0.066938196,0.012133832,5.91643E-05,0.021970654,-0.034966549
ARRB1,0.025882709,-0.00913523,-0.015301667,0.01444569,-0.022101166,0.016999279,-0.002072891,-0.000466545,0.014490658,-0.02117176,-0.003612647,0.007375617,-0.000101299
ARRB2,-0.022255829,0.004399304,0.041432998,-0.011712217,0.00533666,0.007189153,0.033926696,0.02950999,0.024347478,-0.010839984,0.016963555,-0.002942379,0.007612946
ARRDC5,0.025396583,-0.012595829,0.000260563,0.004196774,-0.025357083,-0.02774063,-0.010593198,-0.009948942,0.010561066,0.023112488,-0.021592274,-0.009946972,-0.01166345
ART5,-0.013626751,-0.011691009,-0.025034943,-0.018120756,0.020173959,0.00967263,0.002179847,0.004680596,0.068436673,-0.030794897,0.008559169,-0.091199268,0.024128945
ARV1,0.026214491,-0.011805352,0.020097315,0.010899977,0.006039186,-0.011382805,-0.002906727,-0.01280929,-0.013303661,-0.001369699,0.016140641,0.000693109,0.000762322
ASB13,0.012499565,0.0500042,0.033994853,-0.027348198,0.013532295,0.014163143,-0.050603905,-0.027675679,0.026036808,0.00900779,-0.014006255,0.006105052,-0.010709187
ASCL3,-0.009895805,-0.031902727,-0.038586995,-0.052643387,-0.010084728,-0.016478189,0.002358797,0.022088859,0.019564753,-0.019553888,0.024979101,-0.054443681,-0.01431442
ASF1B,0.02517587,-0.002562107,0.006237699,0.007014447,0.002750551,0.01243919,-0.03759969,-0.015894745,0.020964936,-0.009276074,0.001791987,0.01799041,0.005419091
ASIC1,0.023833122,-0.007476224,0.024803803,0.0171775,-0.002913509,-0.027715117,0.023042755,0.000594422,-0.010795445,-0.02200677,0.033760601,0.003666415,0.002268177
ASIC3,0.025871794,-0.013605304,0.015086644,0.005748378,-0.028521663,-0.010963719,-0.015026993,-0.010842764,-0.001192166,-0.005914401,0.013966592,0.000360906,0.003116884
ASPN,0.026729532,-0.007548411,-0.002938303,0.003742273,0.001098911,-0.001655324,0.01980118,-0.007141953,-0.00950264,0.011799421,0.00954951,0.034358623,0.004383627
